item_resref,item_type,item_type_symbol,visual_layer,animation_code_raw_hex,animation_code,animation_code_valid,body_armor_code,source_bif,locator,source_sha256,candidate_family_count,compatible_animation_count,compatible_animation_ids,candidate_bam_prefixes,resolved_bam_prefixes,unresolved_bam_prefixes,pipeline_ready_prefixes,override_collision,blocker
OHBREW03,35,WAND,,0000,,no,,data/BlackPits.bif,0x00F007BA,4B1F64814256FFDA292FBD6E41D1FC6CC230736F64EF25836E58A2654C56DF45,0,0,,,,,,no,
OHBREW04,9,POTION,,0000,,no,,data/BlackPits.bif,0x00F007BC,A2F40D084F06A09743BBDEB90D3D2FC615A59EB656911DA53F2ABECE4EE8F163,0,0,,,,,,no,
OHBREW05,19,SMSWORD,weapon,5353,SS,yes,,data/BlackPits.bif,0x00F007BE,91793A9B1DC72AF06700BB225A2C18F147752BC0EAD74141C9C1392C48781624,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLSS;WQMSS;WQNSS;WQSSS,WQLSS;WQMSS;WQNSS;WQSSS,,WQLSS;WQMSS;WQNSS;WQSSS,no,
OHBREW06,0,MISC,,0000,,no,,data/BlackPits.bif,0x00F007C0,FDF1A5FD85A1BFACF4B13650310D427A8F68F1135A6998F6D1ED99689C6F386D,0,0,,,,,,no,
OHBRING1,10,RING,,0000,,no,,data/BlackPits.bif,0x00F007C4,856C2D1A6A2D0E9D39AB36784DBF4B3FF46EF369C25576240BF0B1D2BB12994D,0,0,,,,,,no,
OHBRING2,10,RING,,0000,,no,,data/BlackPits.bif,0x00F007C5,99B72FC66C29002F3F73E573C619A615E81140FA7AF9BB2E737F07853B3AE8DC,0,0,,,,,,no,
OHBSCRL,11,SCROLL,,0000,,no,,data/BlackPits.bif,0x00F007CB,1465063ED338071A59BCA6CF2401723E36576B5C8DED2821ACCC28449272CC08,0,0,,,,,,no,
OHBSCRL2,11,SCROLL,,0000,,no,,data/BlackPits.bif,0x00F007CC,298E74EB33B88F43B691500203EEBF577B3B4AA6114BFF43058792C6B450665E,0,0,,,,,,no,
OHBSCRL3,11,SCROLL,,0000,,no,,data/Patch25.bif,0x0100002B,7A068706D965B264E2437BDDA87D4607981A579FBB2C070041BA917E378DB356,0,0,,,,,,no,
OHBSHLD1,12,SHIELD,shield,4337,C7,yes,,data/BlackPits.bif,0x00F007D0,467E94F6A57EC08816E8818DE60BADDCF4EF30B6F2EDE91CA86550C3BF3A3541,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQHC7;WQLC7;WQMC7;WQNC7;WQSC7,WQLC7;WQMC7;WQNC7;WQSC7,WQHC7,WQLC7;WQMC7;WQNC7;WQSC7,no,
OHBSTAF1,26,STAFF,weapon,5133,Q3,yes,,data/BlackPits.bif,0x00F007DB,022B9EE817809953E587B7DAB378A8B31DA7577F8534E61A695E02BC5F655108,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLQ3;WQMQ3;WQNQ3;WQSQ3,WQLQ3;WQMQ3;WQNQ3;WQSQ3,,WQLQ3;WQMQ3;WQNQ3;WQSQ3,no,
OHBWING,20,BGSWORD,weapon,5331,S1,yes,,data/BlackPits.bif,0x00F00829,C9594E10155EE0581842B14620ED77832618C13DF56E2ECC1E1624CBF7F1A06A,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLS1;WQMS1;WQNS1;WQSS1,WQLS1;WQMS1;WQNS1;WQSS1,,WQLS1;WQMS1;WQNS1;WQSS1,no,
OHBWING2,20,BGSWORD,weapon,5331,S1,yes,,data/BlackPits.bif,0x00F0082D,3EE4373C1BF48B9B1C391AA88EAE53A37D1089EC1BEF8C1EC3E4DAA156B62909,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLS1;WQMS1;WQNS1;WQSS1,WQLS1;WQMS1;WQNS1;WQSS1,,WQLS1;WQMS1;WQNS1;WQSS1,no,
OHCHAN50,2,ARMOR,body,3341,3A,yes,3,data/BlackPits.bif,0x00F00843,69DA860CBFF6ACE8BAD27812344544F9692B47057949ECE767942F8868501627,76,76,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,,CDFB3;CDFT3;CDFW3;CDMB3;CDMT3;CDMW3;CEFB3;CEFT3;CEFW3;CEMB3;CEMT3;CEMW3;CHFB3;CHFT3;CHFW3;CHMB3;CHMT3;CHMW3;CIFB3;CIFT3;CIMB3;CIMT3,no,
OHDACOR2,0,MISC,,0000,,no,,data/Dorn.bif,0x0B70066F,DD108ECCB61D2D5E21E1AA6D71C5BEDF132768B4526AC9D3496352682445D0DE,0,0,,,,,,no,
OHDACORN,0,MISC,,0000,,no,,data/Dorn.bif,0x0B700670,1BAAFC8FF4444C7C21B964EDED6BFD4E25098C66AE1BE977C15D8380A285C05F,0,0,,,,,,no,
OHDAPPLE,13,FOOD,,0000,,no,,data/Dorn.bif,0x0B700679,BA0AFE9AEE86A33634826AAEB1AC4CCA230FACA65808ADEE4754AF959AFFE42B,0,0,,,,,,no,
OHDARMOR,2,ARMOR,body,3441,4A,yes,4,data/Dorn.bif,0x0B70067A,99414D3465D61E939C647127961C71F4D2D4DDF1EEBC5B4B8DE679A12E9578D2,76,76,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315,CDFC4;CDFF4;CDFT4;CDFW4;CDMC4;CDMF4;CDMT4;CDMW4;CEFC4;CEFF4;CEFT4;CEFW4;CEMC4;CEMF4;CEMT4;CEMW4;CHFC4;CHFF4;CHFT4;CHFW4;CHMC4;CHMF4;CHMT4;CHMW4;CIFC4;CIFF4;CIFT4;CIMC4;CIMF4;CIMT4,CDFC4;CDFF4;CDFT4;CDFW4;CDMC4;CDMF4;CDMT4;CDMW4;CEFC4;CEFF4;CEFT4;CEFW4;CEMC4;CEMF4;CEMT4;CEMW4;CHFC4;CHFF4;CHFT4;CHFW4;CHMC4;CHMF4;CHMT4;CHMW4;CIFC4;CIFF4;CIFT4;CIMC4;CIMF4;CIMT4,,CDFC4;CDFF4;CDFT4;CDFW4;CDMC4;CDMF4;CDMT4;CDMW4;CEFC4;CEFF4;CEFT4;CEFW4;CEMC4;CEMF4;CEMT4;CEMW4;CHFC4;CHFF4;CHFT4;CHFW4;CHMC4;CHMF4;CHMT4;CHMW4;CIFC4;CIFF4;CIFT4;CIMC4;CIMF4;CIMT4,no,
OHDART50,24,DART,weapon,0000,,no,,data/BlackPits.bif,0x00F00844,BA1FDEF55C88EE7C12834BE2D689F49CEBAACB60667F98EA982E0626CF3C5660,0,0,,,,,,no,no-compatible-character-family;visual-animation-code-invalid
OHDART51,24,DART,weapon,0000,,no,,data/BlackPits.bif,0x00F00845,46E09DA5FBE61065F25329BCDA257B36CDDEE3E678DA0BD31DF9E2C7DBA914FB,0,0,,,,,,no,no-compatible-character-family;visual-animation-code-invalid
OHDCRYST,34,GEM,,0000,,no,,data/Dorn.bif,0x0B700699,2DC92DA61E68A116EE4948F0B40EA9BF141696141EBF8234785D84365D799232,0,0,,,,,,no,
OHDGOLD,10,RING,,2020,,no,,data/Dorn.bif,0x0B7006C7,6B730954860B7469E178F7FD192AC3934F261B669E00EACE593C55B313BA1809,0,0,,,,,,no,
OHDHSWD,20,BGSWORD,weapon,5331,S1,yes,,data/Dorn.bif,0x0B7006DF,6D842AF9BD53499D0D13F0B02AE3C47CE3997AB3C790369A670B8D0C0140AFF7,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLS1;WQMS1;WQNS1;WQSS1,WQLS1;WQMS1;WQNS1;WQSS1,,WQLS1;WQMS1;WQNS1;WQSS1,no,
OHDINK,0,MISC,,0000,,no,,data/Dorn.bif,0x0B7006E0,E9267E725BED3A3E7DDD58206BDD16081FAAAC5237FB1A9C6820F344EE089841,0,0,,,,,,no,
OHDJOUR,0,MISC,,0000,,no,,data/Dorn.bif,0x0B7006E1,858E090895502DA9E2BFBF5D1B53E9081DC3E28640EC02B48E2F11B6E74C6A28,0,0,,,,,,no,
OHDMASK,7,HELMET,helmet,4830,H0,yes,,data/Dorn.bif,0x0B7006E9,77D49BE59C863F26D3984E9152D0B891ECF4F0AE2523E3E841E6942440C88519,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLH0;WQMH0;WQNH0;WQSH0,WQLH0;WQMH0;WQNH0;WQSH0,,WQLH0;WQMH0;WQNH0;WQSH0,no,
OHDMHP1,1,AMULET,,2020,,no,,data/Dorn.bif,0x0B7006EB,60B3AA205F73ADCC1E5AC81F00539A63C6A2326A02010B17B266FA2D8807268F,0,0,,,,,,no,
OHDPOTN1,9,POTION,,0000,,no,,data/Dorn.bif,0x0B7006FF,0F70A26D3B18F8B6F1604F2E699FABA02EA6CE9AB32B817E7E1CACE722B01BD6,0,0,,,,,,no,
OHDROD,35,WAND,,0000,,no,,data/Dorn.bif,0x0B70070B,D4D2C7F23EFC96E0803D17DBD916ED2466B9B94046309EF42AEE8D477B48A85E,0,0,,,,,,no,
OHDSCALE,0,MISC,,0000,,no,,data/Dorn.bif,0x0B70070D,4EB17E9CD5F480BF0407732A611AA37BD21D7EC51FC6AA362B709CE365DFEB26,0,0,,,,,,no,
OHDSCRL,11,SCROLL,,2020,,no,,data/Dorn.bif,0x0B70070E,A063A3EE4B903F30CE4582348DE7EC44123D20E7E33974FF9989400C16671BC9,0,0,,,,,,no,
OHDSIGIL,1,AMULET,,0000,,no,,data/Dorn.bif,0x0B700712,02EAE8D0086ECE2BD79B77DBE07C46707E825AA2D6528E02D96C331E12CC34F3,0,0,,,,,,no,
OHDSUMS1,0,MISC,,2020,,no,,data/Dorn.bif,0x0B70071F,A35985E055C18180C59AFACFC2BC32E068517CAAB4F3A549C86DE695E5807689,0,0,,,,,,no,
OHDSUMS2,0,MISC,,2020,,no,,data/Dorn.bif,0x0B700720,E5470A3E1F4CE2245FBB0707D5A17DD5BD664D7D5C497E37A287EAE2C9ED6E60,0,0,,,,,,no,
OHDSUMS3,0,MISC,,2020,,no,,data/Dorn.bif,0x0B700721,F047DD6D3BF946B4358F3EE67B34EF0CE9A4A74FB0DAEB24F4BCB1721A75AEB3,0,0,,,,,,no,
OHDSW03,20,BGSWORD,weapon,4632,F2,yes,,data/Dorn.bif,0x0B700723,CA1C9B01F667B6F4DC5F2B538BF8E36A66EE6275FBA074E1F5CC7FC1C0F2E1C6,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLF2;WQMF2;WQNF2;WQSF2,WQLF2;WQMF2;WQNF2;WQSF2,,WQLF2;WQMF2;WQNF2;WQSF2,no,
OHDSW2HA,20,BGSWORD,weapon,5332,S2,yes,,data/Dorn.bif,0x0B700726,0B333A82C3735E10E714B93DE0042E991E3DC953CA62A863017C7FE0BE9A0D5D,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLS2;WQMS2;WQNS2;WQSS2,WQLS2;WQMS2;WQNS2;WQSS2,,WQLS2;WQMS2;WQNS2;WQSS2,no,
OHDSW2HB,20,BGSWORD,weapon,5332,S2,yes,,data/Dorn.bif,0x0B700727,8769147042204327340D246400BE826C6E4E54F8743235A90F541C128D242BD0,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLS2;WQMS2;WQNS2;WQSS2,WQLS2;WQMS2;WQNS2;WQSS2,,WQLS2;WQMS2;WQNS2;WQSS2,no,
OHDSW2HC,20,BGSWORD,weapon,5332,S2,yes,,data/Dorn.bif,0x0B700728,3CFE8CA9F7588E27B547B29121780A4B880EFF5660795BDB4572121C1F9050C6,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLS2;WQMS2;WQNS2;WQSS2,WQLS2;WQMS2;WQNS2;WQSS2,,WQLS2;WQMS2;WQNS2;WQSS2,no,
OHDSW2HD,20,BGSWORD,weapon,5332,S2,yes,,data/Dorn.bif,0x0B700729,CF0EDCCF22BE33388EEA281EC3D8D4712DC91676EB1D273AEB3E081295B6F632,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLS2;WQMS2;WQNS2;WQSS2,WQLS2;WQMS2;WQNS2;WQSS2,,WQLS2;WQMS2;WQNS2;WQSS2,no,
OHDWAND1,35,WAND,,0000,,no,,data/Dorn.bif,0x0B700747,BBA8E09274D3BB91E150CBA27C14879658049D89888558940BB60B0AB3827A41,0,0,,,,,,no,
OHHBAG,36,BROKEN1,,0000,,no,,data/Hexxat.bif,0x0B6005F9,DAA01738319A97669EFCABBB73D6C53F8BC3CB9A903E0E0BD8562542DDBAF157,0,0,,,,,,no,
OHHBOOK,0,MISC,,0000,,no,,data/Hexxat.bif,0x0B6005FD,9F35F4787BBF26630D2E5F48F3B1D62C170979E9E5CDA95EBBEDDE48B96A99F1,0,0,,,,,,no,
OHHBOOK2,0,MISC,,0000,,no,,data/Hexxat.bif,0x0B6005FE,E2701ECF3E810D852F3D4382DFA63BA4B37213549E0C82282CCAA0E1D58C4F18,0,0,,,,,,no,
OHHBOOKA,0,MISC,,0000,,no,,data/Hexxat.bif,0x0B6005FF,1F45C884A8FF32DF921777143FD52ED67DC7E8E8E0976C9E7C6DC27E69D5D877,0,0,,,,,,no,
OHHBOOKB,0,MISC,,0000,,no,,data/Hexxat.bif,0x0B600600,B8769E6630B7664425A3AF4ACA20AD066A5DD071636CEB5BC2D8264042EE094F,0,0,,,,,,no,
OHHBOOKC,0,MISC,,0000,,no,,data/Hexxat.bif,0x0B600601,4A2992C157156D72D32F99369084AA517BBADDCCD3FFFD774F103356F4012D47,0,0,,,,,,no,
OHHBOOKD,0,MISC,,0000,,no,,data/Hexxat.bif,0x0B600602,C7C22AB33EE524063CD3F4CED41CEFE22720A17E935189F337E947DB4FD991E9,0,0,,,,,,no,
OHHBOOKE,0,MISC,,0000,,no,,data/Hexxat.bif,0x0B600603,88074CA97DC7B1C890A142F2441A4D09C0FEB57B3E88F6D95A95549C9C5F27AB,0,0,,,,,,no,
OHHBOOKF,0,MISC,,0000,,no,,data/Hexxat.bif,0x0B600604,F19F4766FECD37969816496F96453D8800A3CFBBBBCBAD260E60C1DD72E59338,0,0,,,,,,no,
OHHBOOKG,0,MISC,,0000,,no,,data/Hexxat.bif,0x0B600605,DEE7765DFA9CEE20F46340649E0775BEC817BE60B1D585F2441D8DCE6C15501B,0,0,,,,,,no,
OHHBOOKH,0,MISC,,0000,,no,,data/Hexxat.bif,0x0B600606,E8472223E960C003BADE805226A9B9B8E9BE35C2072F6275FCF184F1CCCB8ADC,0,0,,,,,,no,
OHHCASK,45,,,0000,,no,,data/Hexxat.bif,0x0B600612,2B07A36015AD18E811B34795BBA86DDA84AADEC1C8BF03E34CEC9DDF3F0DA848,0,0,,,,,,no,
OHHCASK2,45,,,0000,,no,,data/Hexxat.bif,0x0B600613,170532C2F158D1A26C50B30A92149246B94CC9B27DF596EAECD258FD36BCDA12,0,0,,,,,,no,
OHHCASQ,0,MISC,,0000,,no,,data/Hexxat.bif,0x0B600614,9510BF44F9497E4F58DCF6AD42E342C6A3C551F888637C10C7D089719D6A5169,0,0,,,,,,no,
OHHCLAW,51,,,0000,,no,,data/Hexxat.bif,0x0B60061A,6E35FC9887C9526090FC5C916E779DD77A4A7E374840A5256BD5A4BA07B7CB98,0,0,,,,,,no,
OHHCLOAK,32,CLOAK,,0000,,no,,data/Hexxat.bif,0x0B60061B,FB63FC3B0AA055BC3D05E552B9146152EEC23A2D76B175B35925B45B8B9CC660,0,0,,,,,,no,
OHHDAG01,16,DAGGER,weapon,4444,DD,yes,,data/Hexxat.bif,0x0B60063E,FB9363CB6734DFC5524609FFD15BE4CCFA37DD86B7EA4BF4975058B75BA10D3D,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLDD;WQMDD;WQNDD;WQSDD,WQLDD;WQMDD;WQNDD;WQSDD,,WQLDD;WQMDD;WQNDD;WQSDD,no,
OHHEXAM0,1,AMULET,,0000,,no,,data/Hexxat.bif,0x0B60065A,1136214FC0F7C2401DED40D1E804F255B18CE1B10500C9B71A192E834BADDDE2,0,0,,,,,,no,
OHHEXAM1,1,AMULET,,0000,,no,,data/Hexxat.bif,0x0B60065B,8DB8B58A56D8E5E749F7BA9DD798B525C0B074360BDE1B014070D0C002EE7FC2,0,0,,,,,,no,
OHHEXAM2,1,AMULET,,0000,,no,,data/Hexxat.bif,0x0B60065D,0C8F13DFD5BA148D71F6E93E070DA87981F618307F1B610A1CEA4C2490C5FBA3,0,0,,,,,,no,
